Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
Fujitsu,Notebook,11.6,Full HD 2560x1440,Intel Core i5 1.82GHz,8GB,1TB SSD,Nvidia Quadro M620,No OS,2.32kg,209992.81
Google,Gaming,11.16,Full HD 3840x2160,AMD Ryzen 7 3.05GHz,16GB,1TB HDD,AMD Radeon R7 M445,Windows 10,2.52kg,154884.46
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,500GB HDD,AMD FirePro W4190M ,Windows 10,1.9kg,61485.12
Xiaomi,Notebook,17.49,Full HD 2560x1440,Intel Core i5 2.39GHz,32GB,256GB SSD,Nvidia GeForce 960M,No OS,2.88kg,244365.49
Fujitsu,Gaming,11.13,Full HD 3840x2160,Intel Core i3 4.03GHz,16GB,1TB HDD,AMD Radeon Pro 560,No OS,2.04kg,146010.96
HP,Workstation,15.14,Full HD 1920x1080,AMD Ryzen 7 3.3GHz,4GB,512GB SSD + 1TB HDD,AMD Radeon RX 550,Windows 10,3.27kg,126303.57
Asus,2 in 1 Convertible,15.33,Full HD 3840x2160,AMD Ryzen 7 2.41GHz,16GB,1TB HDD,Intel HD Graphics,Linux,2.72kg,81115.44
Fujitsu,2 in 1 Convertible,16.61,Full HD 3840x2160,Intel Core i3 3.45GHz,16GB,1TB HDD,Nvidia GeForce 920M,Windows 7,2.47kg,102234.13
HP,Gaming,12.92,Full HD 1920x1080,Intel Core i3 3.48GHz,32GB,256GB SSD,Nvidia GeForce GTX 960<U+039C>,Windows 10,2.95kg,248194.03
Microsoft,Notebook,12.75,Full HD 3840x2160,Intel Core i5 2.02GHz,32GB,1TB SSD,Nvidia GeForce 940M,Windows 10,2.71kg,210798.74
Toshiba,Gaming,11.46,Full HD 1366x768,Intel Core i3 3.99GHz,4GB,256GB SSD,Nvidia GeForce 930M,Mac OS X,2.53kg,121660.09
MSI,Gaming,12.36,Full HD 2880x1800,Intel Core i7 4.28GHz,32GB,256GB SSD,AMD Radeon R5 520,Mac OS X,1.55kg,77906.09
Mediacom,Ultrabook,15.66,Full HD 2880x1800,AMD Ryzen 5 2.65GHz,16GB,256GB SSD,AMD Radeon Pro 560,Linux,3.15kg,84693.81
Toshiba,Netbook,16.74,Full HD 2560x1440,Intel Core i5 3.08GHz,16GB,512GB SSD + 1TB HDD,AMD Radeon R5 M420,Windows 10,1.4kg,234118.3
HP,Notebook,11.55,Full HD 2880x1800,Intel Core i3 2.15GHz,32GB,1TB SSD,Nvidia GeForce 920MX ,Android,2.1kg,214589.67
Huawei,2 in 1 Convertible,16.33,Full HD 1920x1080,Intel Core i7 2.02GHz,32GB,512GB SSD,Nvidia Quadro M620,Mac OS X,3.0kg,249636.03
Acer,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.1kg,23816.16
HP,Netbook,13.31,Full HD 1920x1080,AMD Ryzen 5 1.64GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050 Ti,Mac OS X,1.23kg,151767.43
Microsoft,Netbook,12.15,Full HD 2560x1440,Intel Core i7 2.05GHz,8GB,512GB SSD + 1TB HDD,Intel HD Graphics,Windows 7,2.72kg,116585.9
Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.3kg,22305.1392
Mediacom,Netbook,17.89,Full HD 3840x2160,AMD Ryzen 7 2.23GHz,32GB,512GB SSD + 1TB HDD,AMD Radeon R7 M460,Mac OS X,1.21kg,150704.85
Dell,Netbook,11.48,Full HD 1920x1080,Intel Core i7 2.67GHz,8GB,256GB SSD,Intel HD Graphics 6000,Mac OS X,1.52kg,167810.88
HP,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,Chrome OS,1.4kg,32767.2
HP,Workstation,15.09,Full HD 2880x1800,Intel Core i7 3.63GHz,16GB,512GB SSD,Nvidia GeForce GT 940MX,Android,2.36kg,213516.24
Dell,Gaming,14.03,Full HD 3840x2160,AMD Ryzen 7 4.5GHz,16GB,512GB SSD + 1TB HDD,AMD Radeon RX 550,Windows 10 S,2.3kg,32204.93
Lenovo,Netbook,11.6,IPS Panel 1366x768,Intel Celeron Quad Core N3450 1.1GHz,4GB,128GB SSD,Intel HD Graphics 500,Windows 10,1.59kg,29463.84
Acer,Netbook,15.8,Full HD 3840x2160,AMD Ryzen 7 3.86GHz,32GB,256GB SSD,Intel Graphics 620,Linux,1.46kg,23000.01
Toshiba,Gaming,15.78,Full HD 2880x1800,Intel Core i3 3.1GHz,32GB,512GB SSD + 1TB HDD,AMD Radeon R5 M420,Mac OS X,1.8kg,205304.97
Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,AMD Radeon R5 M430,Linux,2.25kg,24808.2336
Xiaomi,Gaming,17.02,Full HD 2560x1440,AMD Ryzen 7 3.75GHz,32GB,1TB HDD,AMD Radeon R7 M365X,macOS,3.6kg,194303.36
Acer,Gaming,13.22,Full HD 1366x768,AMD Ryzen 7 2.09GHz,4GB,256GB SSD,Nvidia GeForce 150MX,Windows 10 S,3.38kg,77164.08
Acer,Workstation,13.96,Full HD 2880x1800,Intel Core i7 4.22GHz,16GB,512GB SSD + 1TB HDD,Nvidia GeForce GTX 960<U+039C>,Linux,2.29kg,57124.84
Asus,Ultrabook,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.25kg,58554.72
MSI,Netbook,14.21,Full HD 1920x1080,Intel Core i7 2.93GHz,32GB,512GB SSD,AMD Radeon R5 M430,Windows 10,2.39kg,160784.7
Huawei,Ultrabook,14.06,Full HD 2560x1440,Intel Core i5 3.4GHz,8GB,1TB SSD,Nvidia GeForce GTX 1080,Chrome OS,1.57kg,211588.27
Asus,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,6GB,1TB HDD,Intel HD Graphics 620,Windows 10,1.5kg,34046.4528
MSI,Ultrabook,13.5,Full HD 2560x1440,AMD Ryzen 5 3.75GHz,4GB,1TB HDD,Intel Iris Graphics 550,macOS,0.95kg,102782.03
Acer,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4GB,500GB HDD,Intel HD Graphics 520,Linux,2.4kg,19276.704
HP,Ultrabook,15.5,Full HD 1366x768,Intel Core i5 1.96GHz,16GB,512GB SSD,Nvidia GeForce GTX 980M,macOS,2.58kg,102532.94
Acer,Notebook,14,1366x768,Intel Core i3 6006U 2GHz,8GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.1kg,20725.92
Xiaomi,Workstation,16.55,Full HD 2560x1440,AMD Ryzen 7 2.33GHz,16GB,512GB SSD,Nvidia Quadro M620,Chrome OS,1.46kg,178989
Google,Netbook,12.52,Full HD 2560x1440,Intel Core i5 2.52GHz,8GB,1TB HDD,ARM Mali T860 MP4,Windows 7,2.73kg,230952.47
Samsung,Workstation,14.26,Full HD 2880x1800,AMD Ryzen 5 2.41GHz,16GB,256GB SSD,AMD Radeon R5 M420,macOS,1.75kg,225810.75
Xiaomi,Ultrabook,13.26,Full HD 2560x1440,Intel Core i5 4.08GHz,32GB,512GB SSD + 1TB HDD,AMD Radeon RX 540,macOS,2.64kg,117908.99
Acer,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,Linux,2.1kg,21951.36
Acer,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,4.2kg,122490.72
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel HD Graphics 520,Windows 7,2.31kg,50083.2
Huawei,Ultrabook,16.71,Full HD 3840x2160,Intel Core i5 2.19GHz,32GB,1TB HDD,Nvidia GeForce 150MX,Android,2.73kg,155260.29
Google,Workstation,11.45,Full HD 1366x768,Intel Core i3 2.11GHz,8GB,1TB HDD,Nvidia GeForce 940MX,Windows 7,1.03kg,123833.94
Samsung,2 in 1 Convertible,13.37,Full HD 1920x1080,Intel Core i5 3.72GHz,4GB,512GB SSD,Nvidia GeForce GTX1060,Windows 7,3.48kg,155933.9
Razer,2 in 1 Convertible,11.65,Full HD 1920x1080,AMD Ryzen 7 2.91GHz,16GB,1TB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10 S,0.96kg,190152.89
Toshiba,Gaming,16.22,Full HD 2880x1800,Intel Core i7 2.91GHz,32GB,1TB SSD,AMD Radeon R7 M445,Windows 10,3.41kg,182631.56
Chuwi,Notebook,15.36,Full HD 3840x2160,AMD Ryzen 7 3.05GHz,16GB,1TB HDD,Nvidia GeForce 930MX,Windows 7,1.12kg,33740.82
Huawei,2 in 1 Convertible,11.91,Full HD 2880x1800,Intel Core i5 3.61GHz,8GB,1TB SSD,Intel HD Graphics 5300,macOS,2.24kg,95860.93
Lenovo,Netbook,12.5,Full HD 2880x1800,Intel Core i7 2.95GHz,32GB,512GB SSD,Nvidia GeForce GT 940MX,Linux,2.89kg,20863.57
LG,Notebook,16.86,Full HD 1366x768,Intel Core i5 2.19GHz,16GB,512GB SSD + 1TB HDD,AMD Radeon R7 Graphics,Linux,2.61kg,159252.13
Toshiba,Workstation,15.08,Full HD 1920x1080,AMD Ryzen 5 2.97GHz,8GB,1TB HDD,Intel HD Graphics 615,Android,3.43kg,192899.37
LG,Notebook,17.78,Full HD 2880x1800,Intel Core i3 3.46GHz,32GB,1TB HDD,Nvidia GTX 980 SLI,No OS,2.24kg,121393.89
Dell,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD,Intel UHD Graphics 620,Windows 10,1.21kg,85194.72
Dell,Notebook,13.01,Full HD 3840x2160,Intel Core i7 2.04GHz,4GB,1TB SSD,AMD Radeon R5 430,macOS,3.7kg,160678.57
Samsung,Ultrabook,17.16,Full HD 3840x2160,Intel Core i7 2.56GHz,16GB,1TB SSD,AMD Radeon RX 540,No OS,1.57kg,183686.2
LG,Notebook,14.41,Full HD 1366x768,AMD Ryzen 7 3.21GHz,16GB,256GB SSD,Nvidia GeForce GTX 1050 Ti,Chrome OS,3.54kg,89765.86
Acer,Netbook,11.92,Full HD 3840x2160,AMD Ryzen 5 1.58GHz,32GB,1TB SSD,Nvidia GTX 980 SLI,Linux,1.05kg,73169.58
Razer,Ultrabook,15.22,Full HD 2880x1800,Intel Core i3 3.52GHz,8GB,256GB SSD,Nvidia GeForce GTX 970M,macOS,3.02kg,105691.41
Mediacom,Ultrabook,14.76,Full HD 2560x1440,Intel Core i5 3.04GHz,4GB,1TB HDD,Nvidia GeForce GTX 1070M,Mac OS X,2.66kg,202063.89
LG,Workstation,14.46,Full HD 2560x1440,Intel Core i7 3.05GHz,32GB,1TB SSD,Intel HD Graphics 615,Windows 10 S,3.69kg,50134.66
HP,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.34kg,70489.44
Apple,Gaming,16.98,Full HD 1920x1080,Intel Core i7 3.04GHz,32GB,1TB HDD,AMD FirePro W5130M,Windows 10 S,1.25kg,85558.38
Fujitsu,Workstation,17.87,Full HD 2560x1440,AMD Ryzen 5 4.39GHz,16GB,1TB HDD,Intel HD Graphics 500,Mac OS X,3.27kg,25525.22
Mediacom,2 in 1 Convertible,14.18,Full HD 1366x768,AMD Ryzen 7 2.83GHz,16GB,256GB SSD,Nvidia GeForce GTX 970M,Windows 10 S,3.51kg,204719.56
Chuwi,Gaming,11.8,Full HD 2880x1800,Intel Core i3 2.7GHz,8GB,512GB SSD,Nvidia GeForce 920MX,Windows 10 S,2.8kg,124851.66
Razer,Workstation,12.86,Full HD 2880x1800,AMD Ryzen 5 1.66GHz,32GB,512GB SSD,Nvidia GTX 980 SLI,Windows 10,2.26kg,91024.32
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,4GB,1.0TB Hybrid,Intel HD Graphics 520,Windows 7,2.32kg,43956
Dell,2 in 1 Convertible,14.11,Full HD 1366x768,Intel Core i5 3.14GHz,8GB,512GB SSD,Nvidia GeForce 930MX,No OS,2.06kg,234296.79
Google,Netbook,15.5,Full HD 3840x2160,AMD Ryzen 7 2.08GHz,8GB,1TB SSD,AMD Radeon R7 M460,Mac OS X,3.48kg,169134.14
HP,Notebook,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Nvidia GeForce 930MX,Windows 10,1.63kg,54931.68
Lenovo,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.75kg,55890.72
Chuwi,2 in 1 Convertible,13.05,Full HD 2880x1800,AMD Ryzen 7 2.59GHz,32GB,512GB SSD,AMD Radeon R7 M365X,Mac OS X,1.04kg,140020.59
Dell,Gaming,16.9,Full HD 1366x768,Intel Core i3 2.82GHz,4GB,1TB HDD,AMD Radeon R4,Windows 10 S,2.11kg,111760.25
Asus,Ultrabook,17.41,Full HD 2880x1800,AMD Ryzen 5 3.79GHz,8GB,512GB SSD,AMD Radeon 530,Windows 7,2.41kg,69629
Fujitsu,Netbook,14.47,Full HD 2560x1440,Intel Core i7 3.08GHz,4GB,1TB SSD,Intel Iris Graphics 540,Windows 10 S,2.9kg,179652.81
Toshiba,Netbook,16.87,Full HD 1366x768,AMD Ryzen 7 3.85GHz,8GB,1TB SSD,AMD Radeon Pro 555,Windows 10,1.53kg,57973.9
Dell,Gaming,13.23,Full HD 1920x1080,AMD Ryzen 7 3.78GHz,32GB,512GB SSD,AMD Radeon Pro 560,macOS,3.31kg,61051.02
HP,Gaming,14.37,Full HD 2880x1800,Intel Core i7 3.24GHz,16GB,1TB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.89kg,180217.21
LG,Notebook,11.19,Full HD 1920x1080,Intel Core i3 2.86GHz,8GB,256GB SSD,Nvidia Quadro M1000M,Windows 7,2.7kg,159346.1
Huawei,Ultrabook,12.97,Full HD 3840x2160,Intel Core i7 2.15GHz,16GB,256GB SSD,AMD Radeon R7 M365X,Mac OS X,1.79kg,99761.55
Mediacom,Ultrabook,12.36,Full HD 2560x1440,AMD Ryzen 7 4.05GHz,4GB,512GB SSD,AMD FirePro W4190M ,Windows 10 S,3.44kg,181677.69
Vero,Notebook,14.33,Full HD 2560x1440,Intel Core i7 4.38GHz,32GB,1TB SSD,AMD Radeon R4 Graphics,Linux,0.99kg,187979.44
Dell,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,Intel HD Graphics 620,Windows 10,1.95kg,43156.8
Asus,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,32GB,256GB SSD +  256GB SSD,Nvidia GeForce GTX 980M,Windows 10,3.58kg,68145.12
Toshiba,Netbook,13.46,Full HD 1366x768,AMD Ryzen 7 3.31GHz,4GB,1TB SSD,Intel Iris Graphics 540,Windows 10,2.06kg,196503.37
